model,area,school,condval,condsd
Type + PROATCE,Reading,7600121,-9.51610587400385,13.0827081415229
Type + PROATCE,Reading,7600122,-4.76696129284986,22.2094281420455
Type + PROATCE,Reading,7600123,6.01639369850962,14.7649830064998
Type + PROATCE,Reading,7600124,-28.2648210675477,12.8603804171452
Type + PROATCE,Reading,7600125,21.6975829508987,23.5447950937015
Type + PROATCE,Reading,7600127,-61.8745320697543,15.984180574217
Type + PROATCE,Reading,7600128,-2.38623383976571,18.0527844626396
Type + PROATCE,Reading,7600129,-37.761015341195,17.9152396356429
Type + PROATCE,Reading,7600130,-4.0151322315917,12.5664654910482
Type + PROATCE,Reading,7600131,-6.7138122343282,11.1513729853091
Type + PROATCE,Reading,7600132,9.53620488936864,17.7332145082097
Type + PROATCE,Reading,7600133,-37.7245993385941,15.041752155397
Type + PROATCE,Reading,7600136,14.2219733087104,14.4457874462166
Type + PROATCE,Reading,7600137,10.8949131142054,20.039975791671
Type + PROATCE,Reading,7600138,-33.9907268532422,14.1145317770821
Type + PROATCE,Reading,7600139,7.20315420202261,15.9706258289168
Type + PROATCE,Reading,7600140,4.06066125182286,12.2539929818555
Type + PROATCE,Reading,7600143,-10.6043734658733,16.8359363712788
Type + PROATCE,Reading,7600144,2.78958774179023,12.7819047024663
Type + PROATCE,Reading,7600145,-16.5539664065023,18.7826953151661
Type + PROATCE,Reading,7600147,-11.007502929317,13.3490287317581
Type + PROATCE,Reading,7600148,-0.814578904007566,24.0321861985151
Type + PROATCE,Reading,7600149,54.3742666129587,14.6473622364012
Type + PROATCE,Reading,7600150,3.95212916833031,14.9338193939322
Type + PROATCE,Reading,7600151,16.2162712609821,17.4195801135157
